,0
2018-06-22,12030929.702568151
2018-06-25,12050848.448467406
2018-06-26,12075720.095490221
2018-06-27,12060233.252024967
2018-06-28,12083669.141127786
2018-06-29,12060422.791464567
2018-07-02,12084675.789586741
2018-07-03,12057521.245087568
2018-07-05,12046379.813508598
2018-07-06,12057939.745303417
2018-07-09,12012354.66808439
2018-07-10,12049054.932696443
2018-07-11,12094620.66865026
2018-07-12,12065583.339167869
2018-07-13,12070703.909371452
2018-07-16,12080969.108766615
2018-07-17,12116758.779851612
2018-07-18,12083476.723563423
2018-07-19,12110118.518881464
2018-07-20,12073670.384064864
2018-07-23,12048812.160324216
2018-07-24,12014274.444002314
2018-07-25,12008315.633073566
2018-07-26,11976495.408881096
2018-07-27,12024056.716423707
2018-07-30,12046568.87220441
2018-07-31,12157788.28828575
2018-08-01,12166043.063173622
2018-08-02,12052903.353475384
2018-08-03,11998904.699992305
2018-08-06,12017358.651731014
2018-08-07,12026974.86573173
2018-08-08,12026418.502140874
2018-08-09,11955138.03517276
2018-08-10,11986276.429290142
2018-08-13,11932028.657502506
2018-08-14,11913074.11024774
2018-08-15,11927688.016135864
2018-08-16,11959541.299354153
2018-08-17,11971162.392293725
2018-08-20,12009391.188041592
2018-08-21,11987687.88889515
2018-08-22,11942660.986653758
2018-08-23,11968196.47368622
2018-08-24,11907618.350165619
2018-08-27,11898491.443285275
2018-08-28,11956284.993585665
2018-08-29,11940898.191216428
2018-08-30,11952200.05120799
2018-08-31,11910365.62501985
2018-09-04,11884118.24756056
2018-09-05,11857750.637026
2018-09-06,11929401.207980305
2018-09-07,11913909.71617527
2018-09-10,11852784.4152704
2018-09-11,11854297.432824671
2018-09-12,11814162.554686543
2018-09-13,11889493.92077235
2018-09-14,11882609.608166244
2018-09-17,11874252.385856181
2018-09-18,11887909.632700693
2018-09-19,11839067.864034588
2018-09-20,11829160.424182286
2018-09-21,11857546.796619419
2018-09-24,11841234.219031539
2018-09-25,11800612.68296065
2018-09-26,11785423.644908857
2018-09-27,11806636.931122743
2018-09-28,11826018.820872555
2018-10-01,11824955.89184787
2018-10-02,11819173.830419017
2018-10-03,11838411.234452581
2018-10-04,11836257.178864136
2018-10-05,11822681.677994126
2018-10-08,11848867.563088732
2018-10-09,11887708.624824146
2018-10-10,11885050.635950584
2018-10-11,12020685.845071752
2018-10-12,12048267.65670576
2018-10-15,12004162.32128535
2018-10-16,11995195.902894665
2018-10-17,11999948.840513796
2018-10-18,12039867.63798414
2018-10-19,12021268.462893974
2018-10-22,12107493.22099521
2018-10-23,12068733.13508576
2018-10-24,12089437.05953084
2018-10-25,12037089.17303378
2018-10-26,12108408.556256846
2018-10-29,12172590.06393604
2018-10-30,12200342.37144294
2018-10-31,12200090.085085172
2018-11-01,12175754.843682148
2018-11-02,12299199.578766972
2018-11-05,12205703.245712398
2018-11-06,12204313.2377194
2018-11-07,12203148.760664277
2018-11-08,12097123.886640867
2018-11-09,12066019.92722217
2018-11-12,12051783.340093639
2018-11-13,12016195.215856923
2018-11-14,12028051.384087468
2018-11-15,12103985.38274521
2018-11-16,12110850.594491456
2018-11-19,12126162.662423946
2018-11-20,12100246.966549473
2018-11-21,12153012.103663053
2018-11-23,12149210.60754705
2018-11-26,12104811.341049222
2018-11-27,12176864.468850488
2018-11-28,12220020.076452918
2018-11-29,12190395.207593463
2018-11-30,12214423.806969661
2018-12-03,12273228.30467627
2018-12-04,12226944.769498507
2018-12-06,12176731.993380213
2018-12-07,12165106.851949126
2018-12-10,12131381.19246333
2018-12-11,12137960.616600245
2018-12-12,12124153.479047898
2018-12-13,12056788.444941957
2018-12-14,11997446.684022877
2018-12-17,12027869.399547677
2018-12-18,12045546.698557338
2018-12-19,11969119.67983777
2018-12-20,11954774.66880255
2018-12-21,11927461.649229802
2018-12-24,11995431.850575378
2018-12-26,11996648.008882713
2018-12-27,11948852.155242098
2018-12-28,11890519.29071349
2018-12-31,11921307.846346315
2019-01-02,11927911.422634482
